id,grid_code,geometry_wkt,ocean_fraction,orbit_state,datetime,product_type
BIO_S2_SCS__1S_20260531T185506_20260531T185521_T_G01_M03_C06_T041_F230_02_DSBSUU,WRS-41-230,"POLYGON ((-75.649216 -83.47514, -73.12928 -83.97428, -66.02484 -83.44802, -68.84463 -82.98324, -75.649216 -83.47514))",2.220446049250313e-16,descending,2026-05-31T18:55:06.158Z,S2_SCS__1S
BIO_S2_SCS__1S_20260531T203859_20260531T203920_T_G01_M03_C06_T042_F248_02_DSBXEH,WRS-42-248,"POLYGON ((156.9684 -71.25145, 155.29323 -71.43404, 156.56853 -72.6114, 158.34203 -72.418976, 156.9684 -71.25145))",4.440892098500626e-16,descending,2026-05-31T20:38:59.916Z,S2_SCS__1S
BIO_S2_SCS__1S_20260531T203530_20260531T203550_T_G01_M03_C06_T042_F237_02_DSBXFM,WRS-42-237,"POLYGON ((-171.46657 -82.187645, -174.476 -82.61141, -166.7714 -83.426254, -163.89436 -82.954185, -171.46657 -82.187645))",0.9155451207383776,descending,2026-05-31T20:35:30.360Z,S2_SCS__1S
BIO_S2_SCS__1S_20260531T203608_20260531T203628_T_G01_M03_C06_T042_F239_02_DSBWTY,WRS-42-239,"POLYGON ((177.9657 -80.49581, 175.09457 -80.84434, -179.85292 -81.82402, -176.86504 -81.4372, 177.9657 -80.49581))",0.18252675351209058,descending,2026-05-31T20:36:08.463Z,S2_SCS__1S
BIO_S2_SCS__1S_20260531T221846_20260531T221906_T_G01_M03_C06_T043_F253_02_DSC1O9,WRS-43-253,"POLYGON ((127.63089 -65.71952, 126.28097 -65.873055, 127.10058 -67.072174, 128.52408 -66.91183, 127.63089 -65.71952))",0.9672122265791139,ascending,2026-05-31T22:18:46.050Z,S2_SCS__1S
BIO_S3_SCS__1S_20260611T080955_20260611T081016_T_G01_M03_C03_T020_F156_02_DSV5MU,WRS-20-156,"POLYGON ((150.42151 -1.92623, 150.90971 -2.028994, 151.17055 -0.790106, 150.68307 -0.686806, 150.42151 -1.92623))",1.0,descending,2026-06-11T08:09:55.718Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T081324_20260611T081345_T_G01_M03_C03_T020_F167_02_DSV5ZF,WRS-20-167,"POLYGON ((147.76427 -14.629073, 148.27652 -14.727828, 148.53201 -13.489774, 148.02338 -13.390716, 147.76427 -14.629073))",1.0,descending,2026-06-11T08:13:24.755Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T081402_20260611T081423_T_G01_M03_C03_T020_F169_02_DSV5Z6,WRS-20-169,"POLYGON ((147.27835 -16.93656, 147.79861 -17.0349, 148.05495 -15.797273, 147.5389 -15.698677, 147.27835 -16.93656))",1.0,descending,2026-06-11T08:14:02.772Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T102009_20260611T102021_T_G01_M03_C03_T021_F257_02_DSVA7M,WRS-21-257,"POLYGON ((-55.730053 -61.814514, -56.729958 -61.926674, -56.35804 -62.65903, -55.33316 -62.545, -55.730053 -61.814514))",1.0,ascending,2026-06-11T10:20:09.256Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T102217_20260611T102242_T_G01_M03_C03_T021_F264_02_DSVCMH,WRS-21-264,"POLYGON ((-59.41247 -53.41371, -60.305973 -53.524433, -59.77396 -55.017426, -58.84549 -54.904556, -59.41247 -53.41371))",1.0,ascending,2026-06-11T10:22:17.985Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T131806_20260611T131816_T_G01_M03_C03_T023_F199_02_DSVJR9,WRS-23-199,"POLYGON ((65.15135 -50.73794, 65.93096 -50.837425, 66.1221 -50.232994, 65.35327 -50.134098, 65.15135 -50.73794))",1.0,descending,2026-06-11T13:18:06.535Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T144510_20260611T144532_T_G01_M03_C03_T024_F164_02_DSVVBJ,WRS-24-164,"POLYGON ((50.30023 -11.164486, 50.80373 -11.264256, 51.071117 -9.967376, 50.570488 -9.867218, 50.30023 -11.164486))",1.0,descending,2026-06-11T14:45:10.769Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T124243_20260611T124259_T_G01_M03_C03_T023_F087_02_DSVPAE,WRS-23-87,"POLYGON ((123.698296 74.384026, 125.03135 74.004265, 127.839195 74.68315, 126.51493 75.079346, 123.698296 74.384026))",1.0,descending,2026-06-11T12:42:43.215Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T175222_20260611T175243_T_G01_M03_C03_T026_F135_02_DSW0ZF,WRS-26-135,"POLYGON ((8.680968 22.291592, 9.202251 22.173422, 9.529996 23.404453, 9.004111 23.523785, 8.680968 22.291592))",0.0,descending,2026-06-11T17:52:22.777Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T095737_20260611T095757_T_G01_M03_C03_T021_F186_02_DSVBNE,WRS-21-186,"POLYGON ((118.321724 -36.4985, 118.94927 -36.59468, 119.24117 -35.363415, 118.62481 -35.2675, 118.321724 -36.4985))",1.0,descending,2026-06-11T09:57:37.069Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T202603_20260611T202623_T_G01_M03_C03_T027_F310_02_DSW5AN,WRS-27-310,"POLYGON ((140.44376 -0.540665, 139.95482 -0.644348, 140.21603 -1.883342, 140.70572 -1.780164, 140.44376 -0.540665))",1.0,ascending,2026-06-11T20:26:03.392Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T203707_20260611T203728_T_G01_M03_C03_T028_F035_02_DSW5X5,WRS-28-35,"POLYGON ((129.93973 39.66554, 129.31615 39.525585, 129.7655 38.309444, 130.37859 38.447224, 129.93973 39.66554))",1.0,ascending,2026-06-11T20:37:07.894Z,S3_SCS__1S
BIO_S3_SCS__1S_20260611T183900_20260611T183920_T_G01_M03_C03_T026_F282_02_DSW1JR,WRS-26-282,"POLYGON ((171.9437 -32.832767, 171.35896 -32.927036, 171.64479 -34.159313, 172.23936 -34.06483, 171.9437 -32.832767))",1.0,ascending,2026-06-11T18:39:00.136Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T013921_20260604T013937_T_G01_M03_C01_T001_F266_02_DSHMVO,WRS-1-266,"POLYGON ((70.70207 -51.13986, 69.922226 -51.239594, 70.24338 -52.212303, 71.041504 -52.111507, 70.70207 -51.13986))",1.0,ascending,2026-06-04T01:39:21.485Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T013936_20260604T013956_T_G01_M03_C01_T001_F267_02_DSHMWH,WRS-1-267,"POLYGON ((70.319016 -50.000973, 69.55908 -50.099625, 69.95095 -51.322243, 70.73254 -51.222378, 70.319016 -50.000973))",1.0,ascending,2026-06-04T01:39:36.360Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T014033_20260604T014053_T_G01_M03_C01_T001_F270_02_DSHMW9,WRS-1-270,"POLYGON ((69.23882 -46.57941, 68.53222 -46.675358, 68.89118 -47.900436, 69.61599 -47.803574, 69.23882 -46.57941))",1.0,ascending,2026-06-04T01:40:33.472Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T014052_20260604T014102_T_G01_M03_C01_T001_F271_02_DSHMUB,WRS-1-271,"POLYGON ((69.08186 -46.055782, 68.382614 -46.151382, 68.557045 -46.75844, 69.26495 -46.662415, 69.08186 -46.055782))",1.0,ascending,2026-06-04T01:40:52.508Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T032623_20260604T032641_T_G01_M03_C01_T002_F294_02_DSHSXJ,WRS-2-294,"POLYGON ((37.979324 -19.016169, 37.449566 -19.114754, 37.67742 -20.201405, 38.2117 -20.102964, 37.979324 -19.016169))",1.0,ascending,2026-06-04T03:26:23.593Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T060807_20260604T060827_T_G01_M03_C01_T004_F185_02_DSHZ45,WRS-4-185,"POLYGON ((175.89632 -35.350887, 176.50446 -35.445488, 176.79265 -34.213734, 176.19492 -34.119354, 175.89632 -35.350887))",1.0,descending,2026-06-04T06:08:07.451Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T062904_20260604T062916_T_G01_M03_C01_T004_F251_02_DSHZ15,WRS-4-251,"POLYGON ((5.991772 -68.535286, 4.727597 -68.6681, 5.293487 -69.38051, 6.597743 -69.244225, 5.991772 -68.535286))",1.0,ascending,2026-06-04T06:29:04.426Z,S3_SCS__1S
BIO_S3_SCS__1S_20260604T061117_20260604T061138_T_G01_M03_C01_T004_F195_02_DSHZ3H,WRS-4-195,"POLYGON ((172.79768 -46.7972, 173.54028 -46.896946, 173.88795 -45.671146, 173.16342 -45.57223, 172.79768 -46.7972))",1.0,descending,2026-06-04T06:11:17.759Z,S3_SCS__1S
BIO_S3_SCS__1S_20260605T002925_20260605T002944_T_G01_M03_C01_T015_F252_02_DSJFHF,WRS-15-252,"POLYGON ((94.69325 -66.948555, 93.501595 -67.07492, 94.25154 -68.19118, 95.4929 -68.06117, 94.69325 -66.948555))",0.0,ascending,2026-06-05T00:29:25.254Z,S3_SCS__1S
BIO_S3_SCS__1S_20260605T203431_20260605T203451_T_G01_M03_C01_T028_F027_02_DSKXF6,WRS-28-27,"POLYGON ((132.95267 30.549519, 132.39456 30.42333, 132.76025 29.196802, 133.31151 29.321499, 132.95267 30.549519))",1.0,ascending,2026-06-05T20:34:31.547Z,S3_SCS__1S
BIO_S3_SCS__1S_20260605T203423_20260605T203432_T_G01_M03_C01_T028_F026_02_DSKXBW,WRS-28-26,"POLYGON ((133.2877 29.405048, 132.73631 29.280329, 132.90318 28.711622, 133.45154 28.835674, 133.2877 29.405048))",1.0,ascending,2026-06-05T20:34:23.495Z,S3_SCS__1S
BIO_S3_SCS__1S_20260605T200159_20260605T200212_T_G01_M03_C01_T027_F234_02_DSKZHJ,WRS-27-234,"POLYGON ((-139.33318 -84.33955, -141.00714 -84.79053, -131.98108 -85.02612, -130.9851 -84.55561, -139.33318 -84.33955))",0.0,descending,2026-06-05T20:01:59.118Z,S3_SCS__1S
BIO_S3_SCS__1S_20260605T200638_20260605T200658_T_G01_M03_C01_T027_F249_02_DSKZKF,WRS-27-249,"POLYGON ((162.97778 -70.26881, 161.61494 -70.41012, 162.71097 -71.59827, 164.09927 -71.45573, 162.97778 -70.26881))",0.12330636134826711,descending,2026-06-05T20:06:38.203Z,S3_SCS__1S
BIO_S3_SCS__1S_20260606T131522_20260606T131539_T_G01_M03_C01_T038_F087_02_DSM90M,WRS-38-87,"POLYGON ((115.5336 74.38344, 116.86629 74.00375, 119.81823 74.71505, 118.49512 75.11198, 115.5336 74.38344))",1.0,descending,2026-06-06T13:15:22.376Z,S3_SCS__1S
